Method,depth,F1,Bal_acc,conf
Extra,1,0.001194617195460455,0.4860084838533114,"[[ 1612 56852]
 [    2    34]]"
Random,1,0.0012251470176421171,0.49807573891625617,"[[ 1399 57065]
 [    1    35]]"
Extra,1,0.0011611132613208544,0.4727952244116037,"[[ 1691 56773]
 [    3    33]]"
Random,1,0.0011907471938641498,0.4844263136288998,"[[ 1427 57037]
 [    2    34]]"
Extra,1,0.0012643113015382453,0.5000677259028695,"[[ 1588 56875]
 [    1    36]]"
Random,1,0.0012926215762996088,0.5110240665036005,"[[ 1289 57174]
 [    0    37]]"
Extra,1,0.0013010760250369226,0.5142055659134838,"[[ 1661 56802]
 [    0    37]]"
Random,1,0.0012920347801794881,0.5108017036416195,"[[ 1263 57200]
 [    0    37]]"
Extra,1,0.0012986785068707114,0.5133075620477909,"[[ 1556 56907]
 [    0    37]]"
Random,1,0.0012940682708449916,0.5115714212407848,"[[ 1353 57110]
 [    0    37]]"
Extra,1,0.0013044474607343687,0.5154627713254537,"[[ 1808 56655]
 [    0    37]]"
Random,1,0.0012992257316923293,0.5135128200742349,"[[ 1580 56883]
 [    0    37]]"
Extra,1,0.001271096673963703,0.5026676609044944,"[[ 1892 56571]
 [    1    36]]"
Random,1,0.0012994766972219294,0.5136068966696885,"[[ 1591 56872]
 [    0    37]]"
Extra,1,0.001231158872258473,0.48732392998852125,"[[ 1678 56785]
 [    2    35]]"
Random,1,0.0012616085509024005,0.4990243309351121,"[[ 1466 56997]
 [    1    36]]"
Extra,1,0.00130059581348753,0.5140259651403452,"[[ 1640 56823]
 [    0    37]]"
Random,1,0.0012944304506017355,0.5117082599250808,"[[ 1369 57094]
 [    0    37]]"
Extra,1,0.0011953101654098332,0.47352818668864716,"[[ 1645 56818]
 [    3    34]]"
Random,1,0.001261100310020493,0.49882762532643654,"[[ 1443 57020]
 [    1    36]]"
